"Gene_ID","Pi_gene_0d","Td_gene_0d","Tw_gene_0d","Pi_gene_4d","Td_gene_4d","Tw_gene_4d","Pi_gene_full","Td_gene_full","Tw_gene_full","DOS_east","W_Danaus_plexippus_East","East_Pin_Pis_Monarch","alpha_East","W_alpha_East","Gene_Type","Gene_function"
"DPOGS201728",0.014217933,-0.913740121,0.018588341,0.011786467,-1.794610248,0.022981341,0.012749274,-1.122362452,0.017873462,0.060593117,0.233555371,0.147765666,0.367320622,0.085789704,"Paired_control","Modulation"
"DPOGS201730",0.00961155,-0.546165269,0.011621902,0.004081633,-1.889147791,0.014684181,0.007496833,-1.214872739,0.01158189,0.074694857,0.680487805,0.493071768,0.275414248,0.187416037,"Paired_control","Modulation"
"DPOGS201735",0.00422304,-1.141131434,0.006224264,0.005429755,-1.644178766,0.010782091,0.004761212,-1.33646631,0.007399751,0.043729715,0.062861272,0.015655027,0.750959117,0.047206245,"Paired_control","Modulation"
"DPOGS213324",0.008448803,-1.351197301,0.013164609,0.044973545,-0.024811147,0.045276226,0.013747732,-1.042252117,0.0187954,0.071215071,0.274117647,0.168126114,0.386664391,0.105991533,"Paired_control","Effector"
"DPOGS213322",0.002862484,-2.080807342,0.008106409,0.010734051,-0.758834872,0.014768573,0.008008527,-1.228687034,0.012125776,0.009258644,0.104029304,0.092858309,0.107383155,0.011170995,"Paired_control","Effector"
"DPOGS213325",0.001786136,-1.527302208,0.004910315,0.013439153,-0.724457008,0.020557854,0.003246313,-1.524285882,0.006589056,0.070771217,0.378968254,0.256358631,0.32353534,0.122609623,"Paired_control","Effector"
"DPOGS213330",0.005250278,-1.762216621,0.009804197,0.010014646,-1.880922904,0.020506588,0.006381416,-1.736409488,0.011558313,0.034213637,0.107040913,0.066640932,0.3774256,0.040399981,"Paired_control","Modulation"
"DPOGS213332",0.005768903,-0.844624614,0.008289457,0.013708514,1.212625039,0.007787066,0.006687516,0.000216422,0.006687034,0.021160043,0.086271568,0.061864036,0.282915134,0.024407532,"Paired_control","Effector"
"DPOGS213333",0.002098277,-0.344453664,0.002369977,0.004360595,-0.552939491,0.005444347,0.002720703,-0.107956291,0.002809473,0.100706714,0.111984283,0,1,0.111984283,"Paired_control","Modulation"
"DPOGS200699",0.004681286,-1.144611272,0.00690965,0.008062484,0.516572624,0.006798232,0.004351917,-1.086003587,0.006165905,0.059766764,0.063565891,0,1,0.063565891,"Paired_control","Signaling"
"DPOGS209405",0.002169991,-2.101073161,0.005132132,0.002869493,-2.093271116,0.007644511,0.002537435,-2.18499884,0.005983444,-0.02170394,0.185572687,0.216885086,-0.168733876,-0.031312399,"Paired_control","Signaling"
"DPOGS209412",0.00172664,-2.078356318,0.003996472,0.002851981,-2.326466148,0.008356851,0.002116555,-2.167587658,0.004900384,-0.029681065,0.115653041,0.153861754,-0.330373611,-0.038208713,"Paired_control","Signaling"
"DPOGS209401",0.003341334,-1.241467358,0.005224359,0.020592833,-0.554571465,0.024334581,0.007349236,-0.867750086,0.00953752,0.019772969,0.052500887,0.031043766,0.408700167,0.021457121,"Paired_control","Signaling"
"DPOGS208330",0.012027861,-0.04638353,0.012174702,0.013291052,-0.560540033,0.01571015,0.010323712,-0.325666011,0.011266548,-0.025183301,0.363720074,0.412219905,-0.133343839,-0.048499831,"Paired_control","Signaling"
"DPOGS208344",0.005071195,-0.862394634,0.00661328,0.003323123,-1.665232137,0.007213282,0.004306316,-1.096553333,0.006060688,0.077918303,0.180442375,0.081012899,0.551031742,0.099429476,"Paired_control","Signaling"
"DPOGS213739",0.007642563,-0.622010148,0.009517525,0.017316017,1.009370771,0.011680599,0.009108877,-0.528169492,0.010732058,0.065424807,0.070004861,0,1,0.070004861,"Paired_control","Effector"
"DPOGS204648",0.005523489,-1.193647989,0.008046635,0.003701277,-0.663915906,0.004715104,0.005521785,-0.979467155,0.007397599,-0.075149076,0.121380846,0.224576835,-0.85018347,-0.103195989,"Paired_control","Signaling"
"DPOGS204649",0.0012514,-1.966649377,0.00298558,0.006015903,-1.778102293,0.01234052,0.002818998,-1.785726385,0.005378508,0.032953105,0.034076016,0,1,0.034076016,"Paired_control","Signaling"
"DPOGS202485",0.002682791,-1.170710062,0.004003291,0.019050575,-1.189461412,0.027994285,0.006651452,-1.34323831,0.010207915,0.031899097,0.127228525,0.088102984,0.30752177,0.039125541,"Paired_control","Modulation"
"DPOGS202745",0.003590325,-0.250615876,0.004078939,0.008006126,0.293274965,0.006762452,0.003392887,-0.044545162,0.003457038,0.089647812,0.098475967,0,1,0.098475967,"Paired_control","Effector"
"DPOGS210152",0.006356819,-0.504503185,0.007394912,0.004001741,-1.948495219,0.011384888,0.005776469,-0.896116071,0.007594396,0.119230778,0.241797432,0.081648101,0.662328501,0.160149331,"Paired_control","Modulation"
"DPOGS210153",0.00237798,-2.291098733,0.007218348,0.0053204,-1.397574051,0.01142103,0.003073059,-2.13566025,0.007498656,-0.087453557,0.22813874,0.375919515,-0.647767126,-0.147780776,"Paired_control","Modulation"
"DPOGS200002",0.004940397,-0.827431614,0.006346928,0.014785975,-0.880348852,0.019394202,0.007660016,-0.956987105,0.010171855,0.098612806,0.211210398,0.081978017,0.61186562,0.129232381,"Immune_genes","Signaling"
"DPOGS211038",0.000248016,-1.510602523,0.000892268,0.023190364,-1.023492878,0.032805086,0.007606465,-0.579444063,0.009016603,0.019825919,0.020226936,0,1,0.020226936,"Paired_control","Modulation"
"DPOGS211039",0.001518073,0.733906637,0.001200809,0.005894751,0.293519295,0.005331394,0.00221534,0.749007631,0.001810651,0.056186545,0.278969957,0.193223816,0.307366936,0.085746141,"Paired_control","Modulation"
"DPOGS209864",0.000569468,-2.01611125,0.001575449,0.01095994,0.090479846,0.010679405,0.00294702,-1.05806274,0.004112373,0.050021868,0.086175115,0.030201674,0.649531373,0.055973441,"Paired_control","Signaling"
"DPOGS209862",0.00657568,-0.397608573,0.007397225,0.015047469,-0.889208991,0.020047553,0.008461409,-0.701546386,0.010382755,0.009222133,0.009307972,0,1,0.009307972,"Paired_control","Signaling"
"DPOGS209865",0.001238646,-2.096458268,0.004456182,0.025255322,-0.497911997,0.029880602,0.007467074,-0.970064694,0.010227788,0.146678967,0.171891892,0,1,0.171891892,"Paired_control","Effector"
"DPOGS209861",0.006652434,-0.239027546,0.007138144,0.018774911,-0.998528841,0.02603693,0.009248218,-0.8722969,0.012012102,-0.005710209,0.095022624,0.101912673,-0.07250956,-0.006890049,"Paired_control","Signaling"
"DPOGS211751",0.002558765,-1.090555207,0.004212675,0.007887059,0.22729363,0.007204855,0.003833658,-1.329276372,0.006311622,0.027581269,0.130847029,0.096642534,0.261408267,0.034204495,"Paired_control","Effector"
"DPOGS211749",0.000159439,-1.151418009,0.000573601,0.001550099,-0.363403659,0.002007603,0.00095532,-0.151633171,0.001019735,0.07080292,0.076197958,0,1,0.076197958,"Paired_control","Effector"
"DPOGS211748",0.000650638,-0.865929432,0.000927143,0.000138427,-1.151418009,0.00049801,0.000644492,-0.744806618,0.000843457,-0.203986249,0.103636364,0.424279661,-3.093926552,-0.320643297,"Paired_control","Signaling"
"DPOGS201767",0.005456349,-0.172006646,0.005840299,0.015225138,-0.71745148,0.020977402,0.010564374,-0.171880068,0.011135504,0.120055951,0.261705274,0.095729412,0.634209082,0.165975861,"Paired_control","Effector"
"DPOGS211994",0.000902502,-1.846861732,0.002342203,0.002710556,-1.658051233,0.006319013,0.00177938,-1.682592544,0.00343394,0.0202113,0.020628223,0,1,0.020628223,"Paired_control","Signaling"
"DPOGS202393",0.005447647,-0.987607517,0.008453065,0.005835668,-0.363403659,0.007558035,0.007986612,-1.047463513,0.011680599,-0.079793671,0.210011507,0.339325027,-0.615744923,-0.12931352,"Paired_control","Effector"
"DPOGS202396",0.003667786,-1.491443828,0.006374008,0.015264692,-1.67180683,0.02885795,0.009026415,-1.22442081,0.01328176,-0.02777089,0.04318322,0.074306001,-0.720714678,-0.031122781,"Paired_control","Signaling"
"DPOGS202391",0.00444995,-0.004416136,0.004456182,0.018627837,-1.264543176,0.029732434,0.009769379,-0.72004167,0.012099634,0.070170108,0.235841738,0.137222749,0.418157488,0.098618989,"Paired_control","Effector"
"DPOGS202390",0.000425462,-1.115425251,0.000794762,0.001774267,-1.513576188,0.003706344,0.000938153,-1.51346971,0.001727551,0.057910616,0.115086207,0.047446974,0.587726672,0.067639233,"Paired_control","Signaling"
"DPOGS213316",0.002676843,-1.022816919,0.003760583,0.013947966,-0.720174089,0.017355487,0.005020948,-0.809971134,0.006378037,0.063827407,0.080808081,0.011059932,0.863133339,0.069748149,"Paired_control","Signaling"
"DPOGS213314",0.00261324,-0.924695039,0.003917274,0.019029054,-1.344214802,0.031558109,0.00786666,-1.228416689,0.011873348,-0.032516649,0.032166752,0.068012017,-1.114357578,-0.035845264,"Paired_control","Effector"
"DPOGS202547",0.001773151,1.475296489,0.000921051,0.00669965,1.606632214,0.003337314,0.002273131,0.968672153,0.001619579,-0.090313383,0.164383562,0.301218994,-0.832415547,-0.136835432,"Paired_control","Signaling"
"DPOGS209690",0.00609448,0.405182846,0.005453012,0.000454959,-1.151418009,0.001636772,0.00556038,0.501411386,0.004881709,-0.258150321,0.513111888,1.482995591,-1.890199244,-0.969883703,"Paired_control","Signaling"
"DPOGS201636",0.009527864,2.029882292,0.005907429,0.012554113,1.899514076,0.007008359,0.008036228,1.980403782,0.005128068,0.072668968,0.231722429,0.130530874,0.436692965,0.101191554,"Paired_control","Effector"
"DPOGS209284",0.00273412,-0.059618427,0.002784931,0.000907029,-0.018647381,0.000917761,0.00192347,0.141274827,0.001845664,0.135719648,0.211092715,0.04012786,0.809904101,0.170964856,"Paired_control","Signaling"
"DPOGS213727",0.008089251,-0.687679757,0.010089016,0.003567788,0.818617865,0.002357552,0.005627769,-0.728770552,0.007081938,-0.198403026,0.435499515,1.007151096,-1.312634253,-0.571651581,"Paired_control","Signaling"
"DPOGS201630",0.00145313,-0.651995475,0.001842102,0.005962879,-0.080261014,0.006118409,0.003342537,-0.315607311,0.003659842,0.05562524,0.093023256,0.030376683,0.673450661,0.062646573,"Paired_control","Signaling"
"DPOGS204144",0,NA,0,0.005989418,-1.75406594,0.014390498,0.001740564,-1.719854219,0.003740512,0.027003484,0.02775291,0,1,0.02775291,"Paired_control","Signaling"
"DPOGS200399",0.000562064,-1.72080062,0.001642001,0.004336615,-0.266958719,0.004879238,0.00202597,-0.787475592,0.002669221,-0.185173355,0.102171137,0.384798423,-2.766214563,-0.282627286,"Paired_control","Signaling"
"DPOGS209705",0.001635769,-1.733240687,0.005884882,0.013421087,-1.58813571,0.031338192,0.004935981,-1.789395646,0.01112438,0.036548223,0.037934668,0,1,0.037934668,"Paired_control","Signaling"
"DPOGS212893",0.006192292,-0.347091425,0.006928198,0.002489885,-0.018647381,0.002519345,0.005264849,-0.112646178,0.005444347,0.039844369,0.199825098,0.145082949,0.273950318,0.054742149,"Paired_control","Effector"
"DPOGS201128",0.004472988,-1.987116915,0.010988984,0.021630875,-1.337296635,0.036278566,0.010745497,-1.591419851,0.018767704,-0.050982305,0.376130199,0.479961786,-0.276052248,-0.103831587,"Paired_control","Effector"
"DPOGS210536",0.00146347,-0.740993868,0.002733757,0.017573696,-0.868299077,0.02753284,0.003815937,-1.013742501,0.006229653,-0.169728311,0.039141414,0.261663101,-5.685070202,-0.222521687,"Paired_control","Effector"
"DPOGS210290",0.007550705,-0.143395632,0.008030412,0,NA,0,0.009513635,-0.108680917,0.009883584,0.15983302,0.402619349,0.145757773,0.637976234,0.256861576,"Paired_control","Effector"
"DPOGS214970",0.004081633,-1.889147791,0.014684181,0,NA,0,0.004748338,-1.857327158,0.013178112,0.560266002,1.274102079,0,1,1.274102079,"Paired_control","Effector"
"DPOGS209651",0.009057172,-0.826108015,0.012491752,0.022398589,-0.050796683,0.02284206,0.015533032,-0.397740816,0.017544353,0.055761496,0.155572755,0.085619285,0.449651162,0.06995347,"Paired_control","Effector"
"DPOGS201768",0.006715507,0.05021162,0.006589056,0,NA,0,0.003894495,0.05021162,0.003821162,-0.063704729,0.04040404,0.114255392,-1.827820952,-0.073851352,"Paired_control","Effector"
"DPOGS213995",0.007111936,0.137072323,0.006674628,0.012922263,-0.724457008,0.019767167,0.012513647,0.065685517,0.012236818,0.021456635,0.096946565,0.071721685,0.260193641,0.02522488,"Paired_control","Effector"
"DPOGS210782",0.00060024,-1.151418009,0.002159438,0.02692986,-0.507184962,0.032945279,0.007344419,-0.771199788,0.009789454,0.236111111,0.309090909,0,1,0.309090909,"Paired_control","Effector"
